"","id","date","value"
"1","M750",1990-01-01,6370
"2","M750",1990-02-01,6430
"3","M750",1990-03-01,6520
"4","M750",1990-04-01,6580
"5","M750",1990-05-01,6620
"6","M750",1990-06-01,6690
"7","M750",1990-07-01,6000
"8","M750",1990-08-01,5450
"9","M750",1990-09-01,6480
"10","M750",1990-10-01,6820
"11","M750",1990-11-01,6860
"12","M750",1990-12-01,6950
"13","M750",1991-01-01,6920
"14","M750",1991-02-01,6910
"15","M750",1991-03-01,6960
"16","M750",1991-04-01,6990
"17","M750",1991-05-01,7010
"18","M750",1991-06-01,6890
"19","M750",1991-07-01,6200
"20","M750",1991-08-01,5780
"21","M750",1991-09-01,6550
"22","M750",1991-10-01,6980
"23","M750",1991-11-01,7000
"24","M750",1991-12-01,7040
"25","M750",1992-01-01,7030
"26","M750",1992-02-01,7170
"27","M750",1992-03-01,7150
"28","M750",1992-04-01,7180
"29","M750",1992-05-01,7140
"30","M750",1992-06-01,7100
"31","M750",1992-07-01,6490
"32","M750",1992-08-01,6060
"33","M750",1992-09-01,6870
"34","M750",1992-10-01,6880
"35","M750",1992-11-01,6950
"36","M750",1992-12-01,7030
"37","M750",1993-01-01,6940
"38","M750",1993-02-01,6970
"39","M750",1993-03-01,6990
"40","M750",1993-04-01,7010
"41","M750",1993-05-01,7020
"42","M750",1993-06-01,6890
"43","M750",1993-07-01,6300
"44","M750",1993-08-01,6040
"45","M750",1993-09-01,6730
"46","M750",1993-10-01,6910
"47","M750",1993-11-01,7090
"48","M750",1993-12-01,7120
"49","M750",1994-01-01,7070
"50","M750",1994-02-01,7240
"51","M750",1994-03-01,7180
"52","M750",1994-04-01,7180
"53","M750",1994-05-01,7300
"54","M750",1994-06-01,6900
"55","M750",1994-07-01,6400
"56","M750",1994-08-01,6220
"57","M750",1994-09-01,6960
"58","M750",1994-10-01,7130
"59","M750",1994-11-01,7310
"60","M750",1994-12-01,7300
"61","M750",1995-01-01,7310
"62","M750",1995-02-01,7310
"63","M750",1995-03-01,7510
"64","M750",1995-04-01,7440
"65","M750",1995-05-01,7430
"66","M750",1995-06-01,7030
"67","M750",1995-07-01,6440
"68","M750",1995-08-01,6070
"69","M750",1995-09-01,7200
"70","M750",1995-10-01,7390
"71","M750",1995-11-01,7630
"72","M750",1995-12-01,7630
"73","M750",1996-01-01,7610
"74","M750",1996-02-01,7570
"75","M750",1996-03-01,7690
"76","M750",1996-04-01,7740
"77","M750",1996-05-01,7730
"78","M750",1996-06-01,7340
"79","M750",1996-07-01,6700
"80","M750",1996-08-01,6740
"81","M750",1996-09-01,7500
"82","M750",1996-10-01,7930
"83","M750",1996-11-01,7940
"84","M750",1996-12-01,7960
"85","M750",1997-01-01,7900
"86","M750",1997-02-01,8010
"87","M750",1997-03-01,8170
"88","M750",1997-04-01,8140
"89","M750",1997-05-01,8210
"90","M750",1997-06-01,8180
"91","M750",1997-07-01,7330
"92","M750",1997-08-01,7110
"93","M750",1997-09-01,8020
"94","M750",1997-10-01,8150
"95","M750",1997-11-01,8200
"96","M750",1997-12-01,8040
"97","M750",1998-01-01,8210
"98","M750",1998-02-01,8240
"99","M750",1998-03-01,8350
"100","M750",1998-04-01,8390
"101","M750",1998-05-01,8420
"102","M750",1998-06-01,8280
"103","M750",1998-07-01,7710
"104","M750",1998-08-01,7410
"105","M750",1998-09-01,8180
"106","M750",1998-10-01,8430
"107","M750",1998-11-01,8610
"108","M750",1998-12-01,8570
"109","M750",1999-01-01,8610
"110","M750",1999-02-01,8730
"111","M750",1999-03-01,8910
"112","M750",1999-04-01,8840
"113","M750",1999-05-01,8860
"114","M750",1999-06-01,8930
"115","M750",1999-07-01,8760
"116","M750",1999-08-01,8280
"117","M750",1999-09-01,8650
"118","M750",1999-10-01,8800
"119","M750",1999-11-01,9130
"120","M750",1999-12-01,9130
"121","M750",2000-01-01,9140
"122","M750",2000-02-01,9160
"123","M750",2000-03-01,9290
"124","M750",2000-04-01,9240
"125","M750",2000-05-01,9300
"126","M750",2000-06-01,9280
"127","M750",2000-07-01,8520
"128","M750",2000-08-01,8100
"129","M750",2000-09-01,8970
"130","M750",2000-10-01,9190
"131","M750",2000-11-01,9340
"132","M750",2000-12-01,9340
"133","M750",2001-01-01,9350
"134","M750",2001-02-01,9190
"135","M750",2001-03-01,9490
"136","M750",2001-04-01,9360
"137","M750",2001-05-01,9500
"138","M750",2001-06-01,9520
"139","M750",2001-07-01,8890
"140","M750",2001-08-01,8320
"141","M750",2001-09-01,9370
"142","M750",2001-10-01,9660
"143","M750",2001-11-01,10060
"144","M750",2001-12-01,10040
"145","M750",2002-01-01,9900
"146","M750",2002-02-01,10120
"147","M750",2002-03-01,10060
"148","M750",2002-04-01,10820
"149","M750",2002-05-01,10650
"150","M750",2002-06-01,10650
"151","M750",2002-07-01,9560
"152","M750",2002-08-01,9130
"153","M750",2002-09-01,9810
"154","M750",2002-10-01,10060
"155","M750",2002-11-01,10250
"156","M750",2002-12-01,10230
"157","M750",2003-01-01,10190
"158","M750",2003-02-01,10140
"159","M750",2003-03-01,10350
"160","M750",2003-04-01,10310
"161","M750",2003-05-01,10140
"162","M750",2003-06-01,10040
"163","M750",2003-07-01,9310
"164","M750",2003-08-01,8780
"165","M750",2003-09-01,9530
"166","M750",2003-10-01,9790
"167","M750",2003-11-01,9950
"168","M750",2003-12-01,9900
"169","M750",2004-01-01,9970
"170","M750",2004-02-01,9980
"171","M750",2004-03-01,10160
"172","M750",2004-04-01,10220
"173","M750",2004-05-01,10190
"174","M750",2004-06-01,10020
"175","M750",2004-07-01,9310
"176","M750",2004-08-01,8970
"177","M750",2004-09-01,9700
"178","M750",2004-10-01,9910
"179","M750",2004-11-01,10120
"180","M750",2004-12-01,10220
"181","M750",2005-01-01,10130
"182","M750",2005-02-01,10200
"183","M750",2005-03-01,10330
"184","M750",2005-04-01,10340
"185","M750",2005-05-01,10330
"186","M750",2005-06-01,9850
"187","M750",2005-07-01,8860
"188","M750",2005-08-01,8890
"189","M750",2005-09-01,9640
"190","M750",2005-10-01,10060
"191","M750",2005-11-01,10210
"192","M750",2005-12-01,10330
"193","M750",2006-01-01,9900
"194","M750",2006-02-01,9880
"195","M750",2006-03-01,10050
"196","M750",2006-04-01,10060
"197","M750",2006-05-01,10050
"198","M750",2006-06-01,9990
"199","M750",2006-07-01,8930
"200","M750",2006-08-01,8580
"201","M750",2006-09-01,9140
"202","M750",2006-10-01,9590
"203","M750",2006-11-01,9690
"204","M750",2006-12-01,9700
"205","M750",2007-01-01,9610
"206","M750",2007-02-01,9570
"207","M750",2007-03-01,9770
"208","M750",2007-04-01,9830
"209","M750",2007-05-01,9840
"210","M750",2007-06-01,9710
"211","M750",2007-07-01,8710
"212","M750",2007-08-01,8300
"213","M750",2007-09-01,8910
"214","M750",2007-10-01,9710
"215","M750",2007-11-01,9870
"216","M750",2007-12-01,9980
"217","M750",2008-01-01,9970
"218","M750",2008-02-01,9970
"219","M750",2008-03-01,10120
"220","M750",2008-04-01,10150
"221","M750",2008-05-01,10110
"222","M750",2008-06-01,9970
"223","M750",2008-07-01,8930
"224","M750",2008-08-01,9020
"225","M750",2008-09-01,9200
"226","M750",2008-10-01,10090
"227","M750",2008-11-01,10260
"228","M750",2008-12-01,10330
"229","M750",2009-01-01,10360
"230","M750",2009-02-01,10350
"231","M750",2009-03-01,10560
"232","M750",2009-04-01,10600
"233","M750",2009-05-01,10660
"234","M750",2009-06-01,10580
"235","M750",2009-07-01,9420
"236","M750",2009-08-01,9770
"237","M750",2009-09-01,9680
"238","M750",2009-10-01,10400
"239","M750",2009-11-01,10560
"240","M750",2009-12-01,10600
"241","M750",2010-01-01,10560
"242","M750",2010-02-01,10550
"243","M750",2010-03-01,10790
"244","M750",2010-04-01,10810
"245","M750",2010-05-01,10780
"246","M750",2010-06-01,10710
"247","M750",2010-07-01,9060
"248","M750",2010-08-01,9610
"249","M750",2010-09-01,9770
"250","M750",2010-10-01,10340
"251","M750",2010-11-01,10480
"252","M750",2010-12-01,10180
"253","M750",2011-01-01,10390
"254","M750",2011-02-01,10400
"255","M750",2011-03-01,10590
"256","M750",2011-04-01,10600
"257","M750",2011-05-01,10580
"258","M750",2011-06-01,10300
"259","M750",2011-07-01,8800
"260","M750",2011-08-01,9360
"261","M750",2011-09-01,9650
"262","M750",2011-10-01,10280
"263","M750",2011-11-01,10410
"264","M750",2011-12-01,10240
"265","M750",2012-01-01,10380
"266","M750",2012-02-01,10390
"267","M750",2012-03-01,10580
"268","M750",2012-04-01,10560
"269","M750",2012-05-01,10570
"270","M750",2012-06-01,10240
"271","M750",2012-07-01,8720
"272","M750",2012-08-01,9340
"273","M750",2012-09-01,9650
"274","M750",2012-10-01,10480
"275","M750",2012-11-01,10630
"276","M750",2012-12-01,10490
"277","M750",2013-01-01,10550
"278","M750",2013-02-01,10540
"279","M750",2013-03-01,10720
"280","M750",2013-04-01,10700
"281","M750",2013-05-01,10750
"282","M750",2013-06-01,10540
"283","M750",2013-07-01,9030
"284","M750",2013-08-01,9620
"285","M750",2013-09-01,10050
"286","M750",2013-10-01,10610
"287","M750",2013-11-01,10760
"288","M750",2013-12-01,10570
"289","M750",2014-01-01,10730
"290","M750",2014-02-01,10660
"291","M750",2014-03-01,10900
"292","M750",2014-04-01,11020
"293","M750",2014-05-01,10940
"294","M750",2014-06-01,10770
"295","M750",2014-07-01,9340
"296","M750",2014-08-01,9900
"297","M750",2014-09-01,10360
"298","M750",2014-10-01,10950
"299","M750",2014-11-01,11120
"300","M750",2014-12-01,10990
"301","M750",2015-01-01,10980
"302","M750",2015-02-01,11010
"303","M750",2015-03-01,11250
"304","M750",2015-04-01,11290
"305","M750",2015-05-01,11310
"306","M750",2015-06-01,11000
